,count,mean,std,min,25%,50%,75%,max
decisionType,117386.0,1.5497844717427973,1.4867120527345543,1.0,1.0,1.0,1.0,7.0
term,117386.0,1976.6218543949024,18.29286241657139,1946.0,1962.0,1976.0,1989.0,2016.0
naturalCourt,117386.0,1497.9997955463173,112.83454956354475,1301.0,1408.0,1506.0,1603.0,1706.0
petitioner,117386.0,143.97580631421124,106.37002962796946,1.0,28.0,130.0,215.0,600.0
petitionerState,117386.0,5.699793842536589,14.210284239743036,0.0,0.0,0.0,0.0,61.0
respondent,117386.0,128.24812158179,107.331280588384,0.0,27.0,122.0,202.0,600.0
respondentState,117386.0,8.041495578689112,16.306735974959825,0.0,0.0,0.0,5.0,61.0
jurisdiction,117386.0,1.293271770057758,0.8290618669295556,1.0,1.0,1.0,1.0,15.0
adminAction,117386.0,69.83093384219583,20.272926867334863,1.0,69.0,69.0,69.0,118.0
adminActionState,117386.0,2.505861005571363,9.721389704812646,0.0,0.0,0.0,0.0,58.0
threeJudgeFdc,117386.0,0.09247269691445317,0.2896933070769686,0.0,0.0,0.0,0.0,1.0
caseOrigin,117386.0,123.59160376876288,97.56842536056769,1.0,55.0,92.0,126.0,302.0
caseOriginState,117386.0,7.464765815344249,14.91700278580934,0.0,0.0,0.0,6.0,59.0
caseSource,117386.0,93.18830184178692,110.9251933321848,1.0,25.0,29.0,104.0,302.0
caseSourceState,117386.0,6.278559623805224,14.064615907104368,0.0,0.0,0.0,0.0,59.0
lcDisagreement,117386.0,0.21219736595505426,0.40886558665542405,0.0,0.0,0.0,0.0,1.0
certReason,117386.0,7.415969536401274,4.883499101565942,1.0,2.0,10.0,12.0,13.0
lcDisposition,117386.0,3.1429557187398838,2.184145320009098,1.0,2.0,2.0,3.0,12.0
lcDispositionDirection,117386.0,1.4758829843422554,0.5345515953490382,1.0,1.0,1.0,2.0,3.0
declarationUncon,117386.0,1.1716047910312986,0.5531525165830679,1.0,1.0,1.0,1.0,4.0
caseDisposition,117386.0,3.5605438467960404,1.6718129670401023,1.0,2.0,3.0,4.0,10.0
caseDispositionUnusual,117386.0,0.022541018520096094,0.1484355371942523,0.0,0.0,0.0,0.0,1.0
partyWinning,117386.0,0.6200228306612373,0.4856986826016159,0.0,0.0,1.0,1.0,2.0
precedentAlteration,117386.0,0.022072478830524937,0.1469199387193625,0.0,0.0,0.0,0.0,1.0
voteUnclear,117386.0,0.011543114170343993,0.10681745122389903,0.0,0.0,0.0,0.0,1.0
issue,117386.0,52851.712214403764,35385.09180617279,10010.0,20080.0,40070.0,80300.0,140070.0
issueArea,117386.0,5.271284480261701,3.540490985923259,1.0,2.0,4.0,8.0,14.0
decisionDirection,117386.0,1.5238784863612356,0.51839747533593,1.0,1.0,2.0,2.0,3.0
decisionDirectionDissent,117386.0,0.008927810812192254,0.09406476695915751,0.0,0.0,0.0,0.0,1.0
authorityDecision1,117386.0,0.7332986897926499,1.7254731493039843,0.0,0.0,0.0,0.0,7.0
authorityDecision2,117386.0,0.7332986897926499,1.7254731493039843,0.0,0.0,0.0,0.0,7.0
lawType,117386.0,3.2836454091629323,1.5854251146866303,1.0,2.0,3.0,4.0,9.0
lawSupp,117386.0,352.176537236127,150.85169743120304,100.0,230.0,341.0,400.0,900.0
majOpinWriter,117386.0,96.2483601110865,8.673397090631603,78.0,92.0,98.0,102.0,115.0
majOpinAssigner,117386.0,95.9258685022064,7.957320508551495,74.0,90.0,99.0,102.0,111.0
splitVote,117386.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
majVotes,117386.0,7.001235240999779,1.5595813259506968,3.0,6.0,7.0,9.0,9.0
minVotes,117386.0,1.6641251938050534,1.5373540730159478,0.0,0.0,2.0,3.0,4.0
justice,117386.0,95.85624350433612,9.399111133845047,78.0,90.0,98.0,103.0,115.0
vote,117386.0,1.4699793842536588,1.079790331395078,0.0,1.0,1.0,2.0,8.0
opinion,117386.0,1.2344742984683013,0.505794084663396,0.0,1.0,1.0,2.0,3.0
direction,117386.0,1.4521578382430613,0.5869752288099346,0.0,1.0,2.0,2.0,2.0
majority,117386.0,1.7372003475712605,0.5241689684497567,0.0,2.0,2.0,2.0,2.0
firstAgreementPresent,117386.0,1.8680081099960812,0.3561915332626944,0.0,2.0,2.0,2.0,2.0
secondAgreementPresent,117386.0,1.981147666672346,0.1772819393722286,0.0,2.0,2.0,2.0,2.0
yearOfCaseInitiate,117386.0,1976.6218543949024,18.29286241657139,1946.0,1962.0,1976.0,1989.0,2016.0
yearOfDecision,117386.0,1977.487264239347,18.32211660984378,1946.0,1963.0,1977.0,1990.0,2017.0
argumentMade,117386.0,0.9064879968650436,0.2911498420696519,0.0,1.0,1.0,1.0,1.0
reargMade,117386.0,0.028154975891503245,0.16541616100756978,0.0,0.0,0.0,0.0,1.0
usCitePresent,117386.0,0.0393914095377643,0.19452518795290827,0.0,0.0,0.0,0.0,1.0
sctCitePresent,117386.0,0.0050517097439217624,0.07089592929482441,0.0,0.0,0.0,0.0,1.0
ledCitePresent,117386.0,0.0019252721789651235,0.043835851489078086,0.0,0.0,0.0,0.0,1.0
lawMinorPresent,117386.0,0.17976590053328337,0.3839939812849179,0.0,0.0,0.0,0.0,1.0
justiceNameEncode,117386.0,17.074991907041724,9.023453345600492,0.0,11.0,19.0,24.0,36.0
